"time","t","rh","ws","wd","pc","p","date","day"
2022-07-31 22:00:00,24.26,51,4.47,167,0,1017.13,2022-07-31,-4
2022-07-31 23:00:00,23.45,54,3.12,166,0,1017.25,2022-07-31,-4
2022-08-01 00:00:00,22.95,60,3.23,162,0,1017.28,2022-08-01,-3
2022-08-01 01:00:00,22.53,61,2.26,128,0,1017.12,2022-08-01,-3
2022-08-01 02:00:00,22.42,63,1.47,98,0,1016.88,2022-08-01,-3
2022-08-01 03:00:00,22.77,63,1.46,100,0,1016.73,2022-08-01,-3
2022-08-01 04:00:00,24.67,61,0.64,174,0,1016.77,2022-08-01,-3
2022-08-01 05:00:00,27.91,58,1.05,228,0,1016.91,2022-08-01,-3
2022-08-01 06:00:00,31.43,54,1.45,249,0,1017.08,2022-08-01,-3
2022-08-01 07:00:00,33.28,50,2.83,259,0,1017.35,2022-08-01,-3
2022-08-01 08:00:00,33.82,45,3.2,262,0,1017.65,2022-08-01,-3
2022-08-01 09:00:00,34.1,41,2.52,261,0,1017.67,2022-08-01,-3
2022-08-01 10:00:00,34.91,37,2.77,252,0,1017.22,2022-08-01,-3
2022-08-01 11:00:00,35.55,34,2.31,238,0,1016.49,2022-08-01,-3
2022-08-01 12:00:00,35.64,34,2.09,220,0,1015.77,2022-08-01,-3
2022-08-01 13:00:00,35.1,35,1.87,242,0,1015.08,2022-08-01,-3
2022-08-01 14:00:00,34.07,36,2.18,247,0,1014.4,2022-08-01,-3
2022-08-01 15:00:00,32.68,39,2.3,239,0,1013.88,2022-08-01,-3
2022-08-01 16:00:00,31.07,42,3.58,220,0,1013.57,2022-08-01,-3
2022-08-01 17:00:00,29.54,45,5.59,192,0,1013.42,2022-08-01,-3
2022-08-01 18:00:00,28.3,47,5.79,187,0,1013.53,2022-08-01,-3
2022-08-01 19:00:00,27.39,48,5.94,180,0,1014.05,2022-08-01,-3
2022-08-01 20:00:00,26.7,48,6.65,174,0,1014.82,2022-08-01,-3
2022-08-01 21:00:00,26.02,48,6.91,172,0,1015.44,2022-08-01,-3
2022-08-01 22:00:00,25.23,50,6.12,171,0,1015.76,2022-08-01,-3
2022-08-01 23:00:00,24.4,52,3.9,163,0,1015.94,2022-08-01,-3
2022-08-02 00:00:00,23.65,57,2.86,159,0,1016.04,2022-08-02,-2
2022-08-02 01:00:00,23.04,58,2.61,151,0,1016.03,2022-08-02,-2
2022-08-02 02:00:00,22.74,61,2.51,166,0,1015.93,2022-08-02,-2
2022-08-02 03:00:00,22.97,61,1.7,153,0,1015.89,2022-08-02,-2
2022-08-02 04:00:00,23.83,59,0.35,130,0,1015.98,2022-08-02,-2
